time,state,Fp1,Fp2,C3,C4
0.0,relax,-52.525629615477094,-56.74672980323866,-68.78281228058468,-49.801896196901886
0.00390625,relax,-52.8507293595248,-51.179027748876806,-63.4323081637044,-47.317743430468866
0.0078125,relax,-42.92831652598645,-34.685879248148,-46.913950675520375,-55.48890145027451
0.01171875,relax,-22.84835592679358,-29.71778266866621,-37.488978310459814,-41.027586404805824
0.015625,relax,-44.17401015129217,-53.98996415132541,-59.32158346982812,-28.58852378722543
0.01953125,relax,-28.291288699862864,-39.60611189034485,-37.611943644429516,-47.719342812208296
0.0234375,relax,-13.965194367178787,-9.945476488203731,-18.530075470135113,-29.689848335231027
0.02734375,relax,0.8273189902928557,-8.804376345133825,-5.085499958018649,-7.698404457221997
0.03125,relax,7.169518505528472,7.024143659855789,3.3470763038489455,-3.870884454843085
0.03515625,relax,-2.6486323488183308,-1.3443853249614737,-5.863374830747235,0.7314537233373783
0.0390625,relax,3.0777785190288003,3.1677631728194178,4.814367250280083,-6.739594440842893
0.04296875,relax,6.030323888450159,10.536024198208557,9.806696046896043,0.7548237272151104
0.046875,relax,-4.449441993159934,3.0087867182886576,-5.606820217754547,9.209380160207871
0.05078125,relax,8.02261314856198,10.17446973257172,3.754708355089237,8.122636861993158
0.0546875,relax,-6.804798813542855,-8.29622207019902,-4.896415711418359,8.078341742240406
0.05859375,relax,-16.637457251607806,-21.718006872200068,-23.52736129612558,-9.788289478481708
0.0625,relax,-23.12961622937239,-23.324654855564656,-31.08034077699569,-20.978069467096688
0.06640625,relax,-30.915637421413386,-30.185386540073324,-37.11693748173059,-17.952140730115318
0.0703125,relax,-16.320822081250924,-24.647944862335244,-35.62044062524637,-28.986367265646198
0.07421875,relax,-34.717556747470006,-41.13529166609033,-48.515185753050844,-30.93020871241245
0.078125,relax,-42.91842325685301,-43.779250227410245,-56.73715567975819,-31.891602968480246
0.08203125,relax,-35.99238219845978,-41.492441868118924,-57.07094200259031,-33.32235013886045
0.0859375,relax,-39.9334323048372,-43.263971591672174,-34.10847007205543,-34.67800850807081
0.08984375,relax,-37.97366742207632,-42.36763689576759,-56.17323727779651,-40.362716865585895
0.09375,relax,-35.6434407003426,-51.93000122775143,-65.87284448865522,-42.445301569152626
0.09765625,relax,-29.41946442559996,-37.15041646267702,-41.69767639065559,-39.14246655298485
0.1015625,relax,-20.96374073104447,-17.51376079519069,-31.358174208192434,-20.93338047561233
0.10546875,relax,-23.181143723131967,-15.539740667222429,-20.479103504811047,-15.71641434577595
0.109375,relax,-2.6831216823236033,-7.935795905459184,-10.848809160319528,-18.79049221242507
0.11328125,relax,9.48507443614494,10.239371302373744,6.28223993691113,-0.7694644080005029
0.1171875,relax,21.419064697655898,31.63973889092777,36.3483530676628,5.528005432694462
0.12109375,relax,26.737848579696603,17.083162789352006,14.974963899584479,27.41065003221322
0.125,relax,14.896176827422483,25.986977462059862,23.701171435893215,15.987428336997441
0.12890625,relax,18.27852473869609,42.082569327184686,35.70984330796335,23.141473419645205
0.1328125,relax,34.11650695627291,55.4145501341378,64.28098782357215,35.884846222670106
0.13671875,relax,46.752096588261466,57.06735553438942,67.57868450542351,39.46439648169934
0.140625,relax,36.239453127736795,41.95444022487398,57.645763755824504,52.205926426561575
0.14453125,relax,25.452947913173873,31.35365290024506,38.605263901265225,35.890138559814986
0.1484375,relax,22.537115711189003,31.633780814715045,24.62007826434791,27.95981142211999
0.15234375,relax,27.94276243743193,33.389912937977535,47.45359206160747,29.145444278933418
0.15625,relax,33.129943717286,36.57170257497735,45.3911444789318,32.35293250393554
0.16015625,relax,15.786958092278223,24.12622872135394,29.524760274132536,33.08618627870401
0.1640625,relax,-3.2203474597154007,11.909053271619229,-5.313362855149801,26.976830093036472
0.16796875,relax,9.800592554613338,2.233381202067254,2.0895436383678367,-2.6765678249250695
0.171875,relax,-1.6431729945107427,3.279598865156494,-7.638373303388526,9.37979717603734
0.17578125,relax,-1.8967538396207746,-10.78475905726684,-4.110657157122239,-0.9124455167040217
0.1796875,relax,-0.6844604576064928,-2.924401172253373,0.4202100653539187,3.3287980603687615
0.18359375,relax,-20.99186976602901,-24.900949613591862,-22.172106683396095,-14.245012120502517
0.1875,relax,-22.1963052976767,-27.377493547824834,-32.53344997810446,-18.81297272362635
0.19140625,relax,-24.310413702959735,-28.458601270936068,-34.58765326664333,-22.489925751704092
0.1953125,relax,-29.902817541319916,-36.48137856603138,-37.52214631016981,-31.57888623442275
0.19921875,relax,-21.01028461746959,-27.398812934707635,-26.825939080038758,-37.20444181284398
0.203125,relax,-28.76505792414071,-36.84201789299392,-41.16472978623513,-24.565893342822196
0.20703125,relax,-28.748895628111242,-24.831242470200497,-30.931899802167504,-30.47091403591914
0.2109375,relax,-8.543888174541046,-14.356261919443932,-19.09353907810753,-29.098254029949274
0.21484375,relax,-19.445281087886634,-26.124067512744688,-19.379642369442898,-18.33844285678334
0.21875,relax,4.797528745882307,7.782408456222157,12.55179126108286,-9.502099386117381
0.22265625,relax,25.936649701713975,27.088184268929623,40.228057320351304,2.9149145821886853
0.2265625,relax,27.54457120333091,35.006543280469266,31.717274332908264,31.4216938742171
0.23046875,relax,28.85616215262712,44.976456689842834,41.212453338438024,32.534763282960164
0.234375,relax,16.73696876345484,27.68082098563693,23.643401558939555,35.43413238815967
0.23828125,relax,23.172634794135508,16.103479457715622,33.10243630747974,19.824995513848783
0.2421875,relax,28.87527174982163,41.69254246792402,41.94316822705,16.340741571717487
0.24609375,relax,38.25572595462293,40.25404278954697,38.76651070093897,18.56592863207696
0.25,relax,33.23422716117782,30.786549309191773,48.32749762709206,33.47156674410301
0.25390625,relax,25.03993433454671,30.988708713732247,29.069239764655258,28.826717081664295
0.2578125,relax,15.398543925565626,18.56655317047453,8.060555421483834,28.707256344100006
0.26171875,relax,12.274627370499081,-5.599534144319337,7.50436327157737,15.397452897689018
0.265625,relax,-1.056807219310385,12.07958195313079,4.725584656167293,0.5636356742367159
0.26953125,relax,-8.325623336047435,-11.236992558634093,-10.210590478234908,7.502062293133237
0.2734375,relax,-16.005987190718834,-25.96620290937025,-23.0510734755679,-13.049157809107136
0.27734375,relax,-25.06449775289559,-31.956993047629247,-33.00027849834253,-18.82437118589556
0.28125,relax,-17.746819121547563,-33.26334489981643,-40.72601281939056,-34.765265245295765
0.28515625,relax,-19.47591978454521,-19.86120468773397,-28.26503500809159,-24.041582041351287
0.2890625,relax,-28.51662331169258,-26.262450623335493,-36.31344266114847,-13.349055801547149
0.29296875,relax,-15.082702621170736,-17.67284085820439,-25.709311459920695,-35.164879620322125
0.296875,relax,-39.786448740111325,-23.55644195422866,-35.07026307967311,-25.015949889061663
0.30078125,relax,-19.05185665818778,-21.088010811470305,-18.232127666298034,-24.077368697132968
0.3046875,relax,3.443644838235471,-4.502451103061416,-9.614804656952217,-15.623283846037301
0.30859375,relax,-11.092110462736908,-18.784399681279446,-11.327810342007076,-7.321269235767135
0.3125,relax,2.433058322838492,3.9725046007232585,-0.46423226619170843,-17.341184351331894
0.31640625,relax,-7.5639215553410555,-8.562551128063548,-5.920220391280671,7.646696382954025
0.3203125,relax,6.629808143511354,5.290912005969105,1.3545965375518048,-1.3399115318902146
0.32421875,relax,14.042307777945823,20.411994275784636,16.98057582541145,7.657039224234122
0.328125,relax,25.193790341716863,15.209049153431362,13.430988856628021,19.005396712223632
0.33203125,relax,23.692444988950303,36.31295085560155,35.73772374432084,19.389144959954145
0.3359375,relax,6.802679510164555,17.24857928579608,36.05589016041094,32.44580888804033
0.33984375,relax,21.534862447820416,19.57485472505443,28.20157564804507,20.4967637844858
