step,real_x,observed_x,estimated_x,p_variance,kalman_gain
0,0.2483570765056163,-0.0281715258367529,-0.0281715258367529,0.9523809523809523,0.23809523809523808
1,0.5722013455559626,3.618261058372013,0.8145966457995979,0.9244851258581235,0.23112128146453087
2,0.4551246581942946,-0.0131492557040664,0.6267180017103748,0.9079049198452184,0.22697622996130457
3,1.2447310659479904,2.779600524253808,1.1100214560083717,0.8979653078831594,0.22449132697078983
4,1.0099938729805145,2.095113960152444,1.3296911608685522,0.8919759471768486,0.22299398679421212
5,0.7782850265742833,-0.1531744805662304,1.0003631140613256,0.8883557285434904,0.22208893213587264
6,0.8992661623573004,-2.9272943269582954,0.13022652096707632,0.886163425564284,0.22154085639107102
7,0.036807246100784,-1.0877678123811614,-0.139204277750701,0.8848343258777515,0.2212085814694379
8,-0.4696083140664279,0.1588863511241198,-0.07332416236610073,0.8840279968984295,0.2210069992246074
9,-0.9236203518270334,-3.748227754497616,-0.8850539702084776,0.8835386153589492,0.22088465383973732
10,-0.1907959673662563,-0.6423485683393277,-0.8314620980539021,0.8832415223039592,0.22081038057598978
11,-0.1570318650222944,-3.006528237449208,-1.3116411919481281,0.8830611358378672,0.2207652839594668
12,-0.4292232272848857,-0.2073780478651536,-1.0678884644454354,0.882951600110189,0.22073790002754726
13,-1.0047200159960372,-0.2533239793046933,-0.8880967561399598,0.8828850831836154,0.2207212707959038
14,-1.3050393609554396,-1.8884268605419927,-1.1088807860122358,0.8828446885710958,0.22071117214277394
15,-1.605892667070138,2.098663701947737,-0.40095955382850856,0.8828201570902875,0.22070503927257187
16,-1.6126412794391052,-3.728063137350906,-1.1352556890506105,0.8828052590351928,0.22070131475879817
17,-1.2013688233875106,-3.643056123329555,-1.6887248695852173,0.882796211324117,0.22069905283102922
18,-1.096937025885133,-5.016277273644684,-2.423107962368987,0.8827907165493232,0.22069767913733077
19,-1.761030050334348,-1.367307578596101,-2.1900961488518393,0.8827873795024914,0.22069684487562288
20,-1.3917967603366428,-1.0490601979567018,-1.9382736927153608,0.8827853528678912,0.22069633821697282
21,-1.449620901530763,-2.0518282927093408,-1.9633347421808485,0.8827841220634398,0.22069603051585993
22,-2.1888818967144767,-3.628570313503894,-2.3308453114606746,0.8827833745776529,0.22069584364441328
23,-2.4192012821943707,-0.3049568297565392,-1.8837403737792473,0.8827829206182799,0.22069573015457
24,-2.24739213741014,-5.773472448135608,-2.742187365938666,0.8827826449218532,0.2206956612304633
25,-2.085350152712742,-2.855514713545375,-2.7671982151104917,0.8827824774871992,0.2206956193717998
26,-2.4238111528657216,-1.2004585751839858,-2.421425679711289,0.8827823758015658,0.22069559395039148
27,-1.908311391617746,-0.0457511533853489,-1.8971248157685632,0.8827823140463178,0.22069557851157948
28,-2.327920153229065,-2.9463449049314945,-2.12868304049462,0.8827822765414054,0.22069556913535135
29,-2.162288437527283,-0.2111981832825646,-1.705502639542575,0.8827822537640945,0.22069556344102365
30,-2.401875556449928,-2.773193509777562,-1.9411372740375772,0.8827822399310825,0.22069555998277063
31,-2.955043043452942,-5.347456291614284,-2.692896749947507,0.8827822315300813,0.22069555788252032
32,-2.548780132255843,0.1636999248858028,-2.0624585567934473,0.8827822264280237,0.22069555660700593
33,-2.58478519304601,-0.5777193972619616,-1.7347832227145656,0.8827822233294655,0.22069555583236636
34,-2.403967180522193,-3.694206689732441,-2.1672192729572464,0.8827822214476633,0.22069555536191582
35,-2.223269377767986,0.8528037551639525,-1.5007136144231201,0.8827822203048158,0.22069555507620395
36,-2.241182397322962,0.8881049143050506,-0.9735119836636368,0.882782219610747,0.22069555490268675
37,-3.551054949367834,-1.9072499406173864,-1.1795838001088486,0.8827822191892283,0.22069555479730707
38,-3.507531415248748,-4.1055461161804825,-1.8253306765830335,0.8827822189332334,0.22069555473330835
39,-3.461651026980997,-7.436788856182782,-3.0637545521744585,0.8827822187777637,0.220695554694441
40,-3.5714869708997528,-2.85726182787626,-3.0181825258499755,0.8827822186833446,0.22069555467083615
41,-2.8325399485289946,-3.86908038507629,-3.205971900847956,0.8827822186260025,0.22069555465650062
42,-3.236786749975588,-4.2403008371446615,-3.434243699132221,0.8827822185911777,0.22069555464779442
43,-2.779085691124551,-2.1215834718051823,-3.1445454222051206,0.8827822185700281,0.22069555464250704
44,-3.043965793008071,-2.0174309267813584,-2.8957962634955834,0.8827822185571835,0.22069555463929588
45,-2.9954270183340506,-1.058137037268272,-2.4902330413289113,0.8827822185493831,0.22069555463734575
46,-3.3464535652727267,-4.001777858468263,-2.8238242631048958,0.8827822185446457,0.2206955546361614
47,-3.5425076418388057,-6.469537538103043,-3.6284169763724057,0.8827822185417685,0.2206955546354421
48,-3.394447503306518,-2.872336958946739,-3.461553477578204,0.8827822185400211,0.22069555463500526
49,-3.391890774985287,-3.861065041735581,-3.5497239038129087,0.8827822185389599,0.22069555463473997
50,-4.099576146010494,-4.940866791541213,-3.8567429549960566,0.8827822185383154,0.22069555463457888
51,-4.270933404273879,-5.8754879427171165,-4.302270999726734,0.882782218537924,0.220695554634481
52,-4.351576260106883,-3.5434745464778064,-4.13480799562233,0.8827822185376862,0.22069555463442156
53,-3.408483309501618,-3.05932768383794,-3.8974542717147123,0.882782218537542,0.2206955546343855
